Timestamp;Multiplier
2025-12-05 00:00:18;1.34
2025-12-05 00:00:35;2.86
2025-12-05 00:01:00;1.26
2025-12-05 00:01:15;1.54
2025-12-05 00:01:34;1.86
2025-12-05 00:01:54;4.44
2025-12-05 00:02:24;8.85
2025-12-05 00:03:02;2.42
2025-12-05 00:03:26;2.07
2025-12-05 00:03:48;2.05
2025-12-05 00:04:17;9.41
2025-12-05 00:05:01;2.10
2025-12-05 00:05:26;1.68
2025-12-05 00:05:46;1.42
2025-12-05 00:06:05;1.05
2025-12-05 00:06:21;1.33
2025-12-05 00:06:35;6.41
2025-12-05 00:07:10;1.55
2025-12-05 00:07:33;1.45
2025-12-05 00:07:52;1.66
2025-12-05 00:08:10;2.14
2025-12-05 00:08:31;1.72
2025-12-05 00:08:50;3.57
2025-12-05 00:09:16;1.00
2025-12-05 00:09:27;3.23
2025-12-05 00:10:05;5.08
2025-12-05 00:10:41;2.57
2025-12-05 00:11:08;1.88
2025-12-05 00:11:28;1.17
2025-12-05 00:11:41;4.24
2025-12-05 00:12:11;6.38
2025-12-05 00:12:45;1.34
2025-12-05 00:13:00;1.39
2025-12-05 00:13:17;1.14
2025-12-05 00:13:30;2.35
2025-12-05 00:13:52;1.12
2025-12-05 00:14:08;2.11
2025-12-05 00:14:28;159.55
2025-12-05 00:15:41;1.34
2025-12-05 00:15:56;3.43
2025-12-05 00:16:23;1.14
2025-12-05 00:16:37;1.68
2025-12-05 00:16:55;1.45
2025-12-05 00:17:12;2.09
2025-12-05 00:17:32;9.12
2025-12-05 00:18:11;10.32
2025-12-05 00:18:56;4.34
2025-12-05 00:19:31;1.77
2025-12-05 00:19:55;10.46
2025-12-05 00:20:37;1.22
2025-12-05 00:20:54;43.41
2025-12-05 00:21:51;1.00
2025-12-05 00:22:04;2.40
2025-12-05 00:22:28;2.59
2025-12-05 00:22:52;1.00
2025-12-05 00:23:04;1.03
2025-12-05 00:23:18;1.10
2025-12-05 00:23:31;1.56
2025-12-05 00:23:49;2.97
2025-12-05 00:24:14;1.21
2025-12-05 00:24:28;3.98
2025-12-05 00:24:55;1.45
2025-12-05 00:25:11;3.01
2025-12-05 00:25:40;1.02
2025-12-05 00:25:52;1.48
2025-12-05 00:26:14;1.91
2025-12-05 00:26:37;2.34
2025-12-05 00:26:59;1.43
2025-12-05 00:27:17;2.28
2025-12-05 00:27:43;1.00
2025-12-05 00:27:54;6.10
2025-12-05 00:28:30;2.56
2025-12-05 00:28:53;6.47
2025-12-05 00:29:26;1.25
2025-12-05 00:29:40;1.34
2025-12-05 00:29:56;5.73
2025-12-05 00:30:32;2.54
2025-12-05 00:30:54;1.12
2025-12-05 00:31:07;1.00
2025-12-05 00:31:21;1.46
2025-12-05 00:31:37;104.62
2025-12-05 00:32:47;2.55
2025-12-05 00:33:10;1.06
2025-12-05 00:33:23;2.44
2025-12-05 00:33:47;1.05
2025-12-05 00:33:59;1.48
2025-12-05 00:34:16;1.33
2025-12-05 00:34:34;3.14
2025-12-05 00:35:00;1.10
2025-12-05 00:35:12;1.00
2025-12-05 00:35:25;1.30
2025-12-05 00:35:38;9.52
2025-12-05 00:36:20;1.14
2025-12-05 00:36:37;2.18
2025-12-05 00:37:00;2.09
2025-12-05 00:37:27;2.90
2025-12-05 00:37:55;1.26
2025-12-05 00:38:12;5.17
2025-12-05 00:38:47;1.96
2025-12-05 00:39:10;1.09
2025-12-05 00:39:24;1.08
2025-12-05 00:39:41;1.10
2025-12-05 00:39:54;1.14
2025-12-05 00:40:09;1.84
2025-12-05 00:40:28;2.53
2025-12-05 00:40:50;1.01
2025-12-05 00:41:05;1.38
2025-12-05 00:41:23;1.03
2025-12-05 00:41:37;1.53
2025-12-05 00:41:53;32.42
2025-12-05 00:42:50;2.24
2025-12-05 00:43:11;2.36
2025-12-05 00:43:33;1.00
2025-12-05 00:43:45;2.34
2025-12-05 00:44:09;1.76
2025-12-05 00:44:28;1.37
2025-12-05 00:44:44;2.21
2025-12-05 00:45:09;1.06
2025-12-05 00:45:21;3.45
2025-12-05 00:45:48;8.50
2025-12-05 00:46:26;47.62
2025-12-05 00:47:26;2.15
2025-12-05 00:47:46;4.08
2025-12-05 00:48:14;1.57
2025-12-05 00:48:31;1.61
2025-12-05 00:48:54;1.00
2025-12-05 00:49:06;1.05
2025-12-05 00:49:21;52.74
2025-12-05 00:50:21;22.37
2025-12-05 00:51:12;1.61
2025-12-05 00:51:33;3.48
2025-12-05 00:51:59;9.15
2025-12-05 00:52:38;1.10
2025-12-05 00:52:50;1.68
2025-12-05 00:53:08;1.43
2025-12-05 00:53:25;1.49
2025-12-05 00:53:41;1.27
2025-12-05 00:53:56;1.40
2025-12-05 00:54:12;12.46
2025-12-05 00:54:57;2.23
2025-12-05 00:55:19;6.05
2025-12-05 00:55:54;1.91
2025-12-05 00:56:13;5.85
2025-12-05 00:56:47;25.03
2025-12-05 00:57:37;2.43
2025-12-05 00:57:59;5.66
2025-12-05 00:58:32;10.85
2025-12-05 00:59:12;1.85
2025-12-05 00:59:34;1.09
2025-12-05 00:59:47;2.67
